Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chr6	10792823	10811849	-	LOC110468610	10792823	lncRNA
chr6	10835771	10863618	-	LOC110468611	10835771	lncRNA
chr6	10899937	11055884	+	RASGEF1A	10899937	
chr6	11055323	11087335	-	CSGALNACT2	11055323	
chr6	11086694	11116652	+	LOC110468616	11086694	lncRNA
chr6	11088627	11176596	-	RET	11088627	
chr6	11360847	11383422	-	BMS1	11360847	protein_coding
chr6	11399279	11405858	+	TMEM254	11399279	protein_coding
chr6	11410697	11443459	-	LOC110468619	11410697	protein_coding
chr6	11454401	11466633	+	PLAC9	11454401	protein_coding
chr6	11467244	11488329	-	ANXA11	11467244	
chr6	11524350	11627851	+	ZCCHC24	11524350	protein_coding
chr6	11652372	11660606	-	PPIF	11652372	protein_coding
chr6	11669297	11956052	-	ZMIZ1	11669297	protein_coding
chr6	12060728	12179690	-	LOC110468636	12060728	lncRNA
chr6	12549578	12556194	-	RPS24	12549578	protein_coding
chr6	12556690	12588490	+	POLR3A	12556690	protein_coding
chr6	12600557	12696950	+	DLG5	12600557	protein_coding
chr6	12689884	12759079	-	LOC110468629	12689884	lncRNA
chr6	12760066	13199586	+	KCNMA1	12760066	
chr6	13298065	13907143	-	LRMDA	13298065	
chr6	13860990	13862266	-	LOC116183806	13860990	lncRNA
chr6	13931568	13935608	+	ZNF503	13931568	protein_coding
chr6	14190650	14197129	+	COMTD1	14190650	protein_coding
chr6	14209521	14224891	-	VDAC2	14209521	
chr6	14240371	14258679	-	SAMD8	14240371	
chr6	14259381	14272648	-	LOC110480919	14259381	protein_coding
chr6	14279198	14281812	+	LOC110480899	14279198	protein_coding
chr6	14284171	14307027	+	LOC110480879	14284171	protein_coding
chr6	14309717	14332552	+	LOC110480068	14309717	protein_coding
chr6	14350054	14372658	+	DUPD1	14350054	protein_coding
chr6	14375419	14480288	-	KAT6B	14375419	protein_coding
chr6	14505578	14772155	-	ADK	14505578	protein_coding
chr6	14772391	14791999	+	AP3M1	14772391	protein_coding
chr6	14793622	14850950	-	VCL	14793622	
chr6	14900482	14908899	-	PLAU	14900482	protein_coding
chr6	14910194	14964929	+	LOC110480774	14910194	lncRNA
chr6	14981223	15100290	+	CAMK2G	14981223	protein_coding
chr6	15105857	15239797	+	NDST2	15105857	
chr6	15239383	15295121	-	ZSWIM8	15239383	
chr6	15295460	15304143	+	LOC116183807	15295460	lncRNA
chr6	15307925	15323515	-	LOC110480062	15307925	protein_coding
chr6	15324420	15329709	-	CHCHD1	15324420	
chr6	15337351	15343964	-	FUT11	15337351	protein_coding
chr6	15344807	15384452	-	SEC24C	15344807	
chr6	15386182	15422085	+	SYNPO2L	15386182	protein_coding
chr6	15431686	15447412	+	MYOZ1	15431686	protein_coding
chr6	15454071	15556640	+	USP54	15454071	
chr6	15557607	15597637	+	PPP3CB	15557607	protein_coding
chr6	15601225	15614438	-	ANXA7	15601225	protein_coding
chr6	15614817	15615923	+	LOC116183808	15614817	lncRNA
chr6	15617159	15622972	-	EIF3F	15617159	protein_coding
chr6	15628401	15837201	+	SORBS1	15628401	protein_coding
chr6	15839461	15882955	+	PDLIM1	15839461	protein_coding
chr6	15886823	15908226	-	HELLS	15886823	protein_coding
chr6	15914711	15918015	+	LOC116183785	15914711	lncRNA
chr6	15929524	15958615	+	LOC110480314	15929524	
chr6	15957308	15967083	-	LOC110480038	15957308	
chr6	15970714	15977263	+	LOC110480306	15970714	protein_coding
chr6	15980332	16063620	-	TLL2	15980332	protein_coding
chr6	16067813	16116673	-	TM9SF3	16067813	
chr6	16121781	16156670	-	PIK3AP1	16121781	protein_coding
chr6	16159705	16170850	+	NOLC1	16159705	protein_coding
chr6	16178541	16184772	+	LOC110480032	16178541	protein_coding
chr6	16200962	16223000	-	PITX3	16200962	protein_coding
chr6	16229337	16329337	+	GBF1	16229337	protein_coding
chr6	16332951	16340482	+	TMEM150A	16332951	protein_coding
chr6	16345030	16352804	+	NFKB2	16345030	protein_coding
chr6	16353132	16387397	-	PSD	16353132	protein_coding
chr6	16394658	16398111	-	LOC116183809	16394658	lncRNA
chr6	16398164	16404273	+	FBXL15	16398164	protein_coding
chr6	16402623	16413650	-	CUEDC2	16402623	protein_coding
chr6	16527307	16610021	-	PAX2	16527307	protein_coding
chr6	16843752	16872547	-	HIF1AN	16843752	protein_coding
chr6	16875401	16880922	+	NDUFB8	16875401	
chr6	16881357	16916314	+	SEC31B	16881357	protein_coding
chr6	16920991	16926817	-	WNT8B	16920991	protein_coding
chr6	16937746	16948352	+	LOC110480084	16937746	lncRNA
chr6	16953545	16974517	-	SCD	16953545	protein_coding
chr6	16974193	16978059	+	LOC116183810	16974193	lncRNA
chr6	16989950	17005552	+	PKD2L1	16989950	protein_coding
chr6	17026751	17045126	+	LOC110475029	17026751	protein_coding
chr6	17045679	17051487	+	BLOC1S2	17045679	
chr6	17051838	17059254	-	LOC110475042	17051838	protein_coding
chr6	17076689	17101600	-	ALOX5	17076689	protein_coding
chr6	17107132	17177007	-	MARCHF8	17107132	
chr6	17208427	17229225	-	ZFAND4	17208427	protein_coding
chr6	17230104	17267816	-	WASHC2C	17230104	
chr6	17279111	17286829	+	LOC110475131	17279111	protein_coding
chr6	17289812	17293484	+	LOC116183117	17289812	protein_coding
chr6	17307318	17317171	+	NPY4R2	17307318	protein_coding
chr6	17338165	17350636	-	LOC110475679	17338165	protein_coding
chr6	17359224	17416817	-	ANTXRL	17359224	
chr6	17420527	17438499	+	ZNF488	17420527	protein_coding
chr6	17445097	17460127	-	RBP3	17445097	protein_coding
chr6	17466394	17470045	-	GDF2	17466394	protein_coding
chr6	17473815	17486380	-	GDF10	17473815	protein_coding
chr6	17491731	17503066	+	LOC116183811	17491731	lncRNA
chr6	17552899	17725347	+	MAPK8	17552899	
chr6	17610012	17621204	-	PTPN20	17610012	protein_coding
chr6	17635055	17667776	-	FRMPD2	17635055	protein_coding
chr6	17654172	17659808	-	LOC110475239	17654172	lncRNA
chr6	17723205	17852802	-	ARHGAP22	17723205	
chr6	17853673	17857516	+	LOC110475721	17853673	lncRNA
chr6	17868811	17987242	+	WDFY4	17868811	protein_coding
chr6	17947999	17949084	-	LRRC18	17947999	protein_coding
chr6	17994858	18027279	-	VSTM4	17994858	
chr6	18034851	18107730	+	C6H10orf71	18034851	protein_coding
chr6	18045358	18061662	-	TMEM273	18045358	protein_coding
chr6	18120746	18136366	-	DRGX	18120746	protein_coding
chr6	18146360	18150294	-	LOC110475579	18146360	protein_coding
chr6	18155956	18199898	-	ERCC6	18155956	protein_coding
chr6	18335259	18389476	+	LOC116183786	18335259	lncRNA
chr6	18448071	18467138	-	CXCL12	18448071	
chr6	18576406	18582326	+	TMEM72	18576406	protein_coding
chr6	18600451	18609171	+	LOC110475590	18600451	protein_coding
chr6	18625377	18652333	-	ANKRD22	18625377	protein_coding
chr6	18652434	18673441	+	STAMBPL1	18652434	protein_coding
chr6	18673903	18684810	-	ACTA2	18673903	protein_coding
chr6	18690318	18713188	+	FAS	18690318	protein_coding
chr6	18774428	18776695	-	CH25H	18774428	protein_coding
chr6	18778340	18793432	-	LIPA	18778340	
chr6	18797617	18801215	+	LOC110475622	18797617	protein_coding
chr6	18803664	18815500	-	SLC16A12	18803664	protein_coding
chr6	18845869	18880051	-	PANK1	18845869	protein_coding
chr6	18889057	18922948	+	KIF20B	18889057	protein_coding
chr6	18992123	19023802	-	HTR7	18992123	protein_coding
chr6	19030101	19048104	+	RPP30	19030101	
chr6	19050170	19057679	-	ANKRD1	19050170	protein_coding
chr6	19102075	19103058	+	LOC110475630	19102075	protein_coding
chr6	19102826	19167266	+	PCGF5	19102826	protein_coding
chr6	19210821	19248368	+	HECTD2	19210821	
chr6	19280698	19284893	-	PPP1R3C	19280698	protein_coding
chr6	19305244	19339498	+	TNKS2	19305244	
chr6	19346834	19347487	-	FGFBP3	19346834	protein_coding
chr6	19355248	19359208	-	LOC110475644	19355248	protein_coding
chr6	19372188	19413431	+	TBC1D12	19372188	protein_coding
chr6	19413530	19429101	+	NOC3L	19413530	protein_coding
chr6	19430039	19566911	-	PLCE1	19430039	protein_coding
chr6	19578151	19589901	-	SLC35G1	19578151	protein_coding
chr6	19600032	19634161	-	LGI1	19600032	
chr6	19633602	19653026	+	LOC110475500	19633602	protein_coding
chr6	19654726	19680477	-	PDE6C	19654726	protein_coding
chr6	19688425	19695046	+	RBP4	19688425	protein_coding
chr6	19695232	19701305	-	FFAR4	19695232	protein_coding
chr6	19707822	19720509	-	CEP55	19707822	protein_coding
chr6	19721781	19783548	+	MYOF	19721781	protein_coding
chr6	19845666	19848737	-	LOC110475813	19845666	protein_coding
chr6	19852465	19858650	-	LOC110475659	19852465	protein_coding
chr6	19859268	19944483	-	EXOC6	19859268	protein_coding
chr6	19948079	19949106	+	LOC110468532	19948079	lncRNA
chr6	20013744	20019062	-	HHEX	20013744	protein_coding
chr6	20037443	20054439	-	KIF11	20037443	protein_coding
chr6	20060580	20116670	+	IDE	20060580	protein_coding
chr6	20134479	20160616	-	MARCHF5	20134479	protein_coding
chr6	20160706	20242666	+	CPEB3	20160706	protein_coding
chr6	20164501	20168160	-	LOC116183812	20164501	lncRNA
chr6	20262753	20305192	-	BTAF1	20262753	protein_coding
chr6	20305951	20312481	+	LOC110473705	20305951	lncRNA
chr6	20312620	20334291	-	LOC110473703	20312620	
chr6	20348430	20358081	-	CCNJ	20348430	
chr6	20387538	20397257	+	ZNF518A	20387538	protein_coding
chr6	20402222	20492266	-	BLNK	20402222	protein_coding
chr6	20468412	20501951	+	LOC110473701	20468412	lncRNA
chr6	20517727	20600197	+	DNTT	20517727	protein_coding
chr6	20693523	20704815	+	LOC110473697	20693523	lncRNA
chr6	20706578	20760124	+	LOC110473696	20706578	
chr6	20822166	20823442	-	LOC110473622	20822166	protein_coding
chr6	20835841	20893137	-	KNDC1	20835841	protein_coding
chr6	20942220	21196009	-	ADGRA1	20942220	protein_coding
chr6	21250112	21295871	-	LOC110473606	21250112	protein_coding
chr6	21298539	21315826	+	LOC116183787	21298539	lncRNA
chr6	21319902	21354325	+	ENTPD1	21319902	
chr6	21355558	21366844	+	CPN1	21355558	protein_coding
chr6	21379516	21405795	+	DNMBP	21379516	protein_coding
chr6	21405718	21423453	-	ABCC2	21405718	protein_coding
chr6	21426250	21430970	-	CUTC	21426250	protein_coding
chr6	21430995	21435544	+	LOC110473688	21430995	protein_coding
chr6	21439101	21440664	+	LOC110473689	21439101	protein_coding
chr6	21441312	21446235	-	ENTPD7	21441312	protein_coding
chr6	21447149	21457968	+	SLC25A28	21447149	protein_coding
chr6	21459371	21461598	-	NKX2-3	21459371	protein_coding
chr6	21485581	21489779	+	GOT1	21485581	protein_coding
chr6	21490655	21511177	-	CNNM1	21490655	protein_coding
chr6	21518172	21521665	-	LOC116183813	21518172	lncRNA
chr6	21521676	21627646	+	HPSE2	21521676	protein_coding
chr6	21628434	21633152	+	HPS1	21628434	protein_coding
chr6	21634223	21638870	+	PYROXD2	21634223	protein_coding
chr6	21641712	21646743	+	LOXL4	21641712	protein_coding
chr6	21648585	21660110	-	R3HCC1L	21648585	protein_coding
chr6	21669525	21682892	+	CRTAC1	21669525	protein_coding
chr6	21683084	21691683	-	GOLGA7B	21683084	protein_coding
chr6	21693645	21696498	+	SFRP5	21693645	protein_coding
chr6	21698783	21703635	-	ZFYVE27	21698783	protein_coding
chr6	21705038	21707750	-	MARVELD1	21705038	protein_coding
chr6	21708001	21708940	+	AVPI1	21708001	protein_coding
chr6	21709818	21717309	-	PI4K2A	21709818	protein_coding
chr6	21717756	21721321	+	MORN4	21717756	protein_coding
chr6	21721397	21724317	-	HOGA1	21721397	protein_coding
chr6	21725083	21727905	-	ANKRD2	21725083	protein_coding
chr6	21728976	21734084	-	UBTD1	21728976	protein_coding
chr6	21734217	21749362	+	MMS19	21734217	protein_coding
chr6	21749530	21755758	-	ZDHHC16	21749530	protein_coding
chr6	21755906	21758199	+	EXOSC1	21755906	protein_coding
chr6	21758761	21761373	-	PGAM1	21758761	protein_coding
chr6	21761774	21775939	+	RRP12	21761774	
chr6	21776572	21807408	+	ARHGAP19	21776572	
chr6	21810482	21871744	+	SLIT1	21810482	
chr6	21870713	21961371	-	LCOR	21870713	
chr6	21977060	21991091	-	PPRC1	21977060	protein_coding
chr6	21994609	22020473	+	LDB1	21994609	
chr6	22023376	22033067	+	LOC110473617	22023376	protein_coding
chr6	22035264	22039196	-	HPS6	22035264	protein_coding
chr6	22039428	22162744	+	ARMH3	22039428	protein_coding
chr6	22170750	22213832	+	KCNIP2	22170750	protein_coding
chr6	22216764	22238257	+	OGA	22216764	protein_coding
chr6	22239562	22243883	+	NPM3	22239562	protein_coding
chr6	22255656	22263569	+	FGF8	22255656	protein_coding
chr6	22289432	22349479	+	FBXW4	22289432	protein_coding
chr6	22351334	22358432	-	DPCD	22351334	protein_coding
chr6	22359031	22370166	+	POLL	22359031	protein_coding
chr6	22386301	22393855	-	LOC110473616	22386301	protein_coding
chr6	22398936	22519238	-	BTRC	22398936	
chr6	22618511	22619645	+	LBX1	22618511	protein_coding
chr6	22651632	22657634	-	TLX1	22651632	protein_coding
chr6	22690408	22701186	-	KAZALD1	22690408	
chr6	22707031	22712781	-	SFXN3	22707031	protein_coding
chr6	22712664	22720815	+	PDZD7	22712664	protein_coding
chr6	22720678	22724563	-	LZTS2	22720678	protein_coding
chr6	22728192	22733581	-	TWNK	22728192	protein_coding
chr6	22734455	22764040	-	SEMA4G	22734455	protein_coding
chr6	22766465	22795719	-	SLF2	22766465	protein_coding
chr6	22819473	22829939	-	C6H10orf95	22819473	protein_coding
chr6	22831703	22845286	+	MFSD13A	22831703	protein_coding
chr6	22845895	22860743	-	ACTR1A	22845895	protein_coding
chr6	22862618	22951715	+	SUFU	22862618	
chr6	22962740	22992799	+	TRIM8	22962740	protein_coding
chr6	22999616	23029993	-	ARL3	22999616	protein_coding
chr6	23030093	23037409	+	SFXN2	23030093	protein_coding
chr6	23040631	23099693	+	WBP1L	23040631	protein_coding
chr6	23104281	23107765	-	LOC110473583	23104281	protein_coding
chr6	23108542	23111774	+	BORCS7	23108542	
chr6	23112258	23116420	+	AS3MT	23112258	protein_coding
chr6	23119405	23235816	+	CNNM2	23119405	
chr6	23238778	23298428	-	NT5C2	23238778	protein_coding
chr6	23304080	23310486	+	INA	23304080	protein_coding
chr6	23316918	23336914	-	PCGF6	23316918	
chr6	23337852	23348031	+	TAF5	23337852	protein_coding
chr6	23349164	23351416	-	ATP5MD	23349164	protein_coding
chr6	23351524	23376019	+	PDCD11	23351524	protein_coding
chr6	23379469	23380511	-	CALHM2	23379469	protein_coding
chr6	23386048	23388437	-	CALHM1	23386048	protein_coding
chr6	23392745	23395587	-	CALHM3	23392745	protein_coding
chr6	23402075	23413977	-	LOC110473636	23402075	lncRNA
chr6	23412645	23557364	+	NEURL1	23412645	
chr6	23560072	23806516	-	SH3PXD2A	23560072	protein_coding
chr6	23815062	23856653	-	STN1	23815062	
chr6	23856953	23906306	+	SLK	23856953	protein_coding
chr6	23906892	23941061	-	COL17A1	23906892	protein_coding
chr6	23965866	23969868	+	SFR1	23965866	protein_coding
chr6	23970741	24014510	-	CFAP43	23970741	protein_coding
chr6	24018236	24024386	+	LOC110473579	24018236	protein_coding
chr6	24031761	24055467	-	ITPRIP	24031761	protein_coding
chr6	24063603	24120574	+	CFAP58	24063603	protein_coding
chr6	24215581	24483427	+	SORCS3	24215581	protein_coding
chr6	24908892	25167389	-	LOC110473608	24908892	protein_coding
chr6	25455117	25486064	-	XPNPEP1	25455117	protein_coding
chr6	25506889	25599595	+	ADD3	25506889	
chr6	25617209	25673896	+	MXI1	25617209	
chr6	25679072	25688691	-	SMNDC1	25679072	protein_coding
chr6	25801455	25811255	+	DUSP5	25801455	protein_coding
chr6	25824024	25847538	+	SMC3	25824024	protein_coding
chr6	25855109	25857796	+	LOC110468274	25855109	lncRNA
chr6	25895452	25978787	+	RBM20	25895452	
chr6	25985098	26004143	+	PDCD4	25985098	protein_coding
chr6	26004146	26005043	-	BBIP1	26004146	protein_coding
chr6	26016752	26083932	+	SHOC2	26016752	
chr6	26095094	26097097	+	ADRA2A	26095094	protein_coding
chr6	26097122	26101828	+	LOC116183814	26097122	lncRNA
chr6	26115366	26205965	+	LOC110468258	26115366	lncRNA
chr6	26466297	26496814	-	GPAM	26466297	protein_coding
chr6	26527673	26536680	+	TECTB	26527673	protein_coding
chr6	26553228	26574040	+	ACSL5	26553228	protein_coding
chr6	26575604	26585599	-	ZDHHC6	26575604	protein_coding
chr6	26585706	26852555	+	VTI1A	26585706	
chr6	26906637	27079159	+	TCF7L2	26906637	
chr6	27293324	27316326	+	HABP2	27293324	protein_coding
chr6	27314763	27362486	-	NRAP	27314763	protein_coding
chr6	27367622	27389129	+	CASP7	27367622	protein_coding
chr6	27392415	27404765	+	PLEKHS1	27392415	protein_coding
chr6	27416040	27431425	-	DCLRE1A	27416040	protein_coding
chr6	27432041	27464817	+	NHLRC2	27432041	
chr6	27517158	27535515	+	ADRB1	27517158	protein_coding
chr6	27546068	27581598	-	CCDC186	27546068	protein_coding
chr6	27586425	27603585	+	TDRD1	27586425	protein_coding
chr6	27608980	27629494	+	VWA2	27608980	protein_coding
chr6	27633552	27697575	-	AFAP1L2	27633552	protein_coding
chr6	27706668	27902994	-	ABLIM1	27706668	
chr6	27912575	27916468	-	LOC110468244	27912575	lncRNA
chr6	27916244	27949326	+	FAM160B1	27916244	protein_coding
chr6	27975577	28007607	+	TRUB1	27975577	protein_coding
chr6	28071487	28504359	+	ATRNL1	28071487	protein_coding
chr6	28549272	28687049	-	GFRA1	28549272	
chr6	28706667	28741841	+	CCDC172	28706667	protein_coding
chr6	28745266	28756041	+	LOC110474113	28745266	protein_coding
chr6	28763451	28780356	+	LOC110474114	28763451	protein_coding
chr6	28782757	28794350	+	LOC110474116	28782757	protein_coding
chr6	28805083	28856323	-	HSPA12A	28805083	protein_coding
chr6	28896450	28912197	+	ENO4	28896450	protein_coding
chr6	28914782	28969741	-	SHTN1	28914782	protein_coding
chr6	29013922	29018099	-	VAX1	29013922	protein_coding
chr6	29036880	29055747	+	KCNK18	29036880	protein_coding
chr6	29082657	29109799	+	SLC18A2	29082657	protein_coding
chr6	29110890	29162737	-	PDZD8	29110890	protein_coding
chr6	29242593	29262242	+	EMX2	29242593	protein_coding
chr6	29442881	29485083	-	RAB11FIP2	29442881	
chr6	29631496	29680407	+	TCERG1L	29631496	protein_coding
chr6	29771839	29785496	-	LOC110479898	29771839	lncRNA
chr6	29853334	29866856	-	GLRX3	29853334	protein_coding
chr6	29878827	29892242	+	C6H10orf143	29878827	
chr6	29932618	30060433	+	EBF3	29932618	protein_coding
chr6	30091966	30229389	-	MGMT	30091966	
chr6	30165221	30181967	+	LOC116183815	30165221	lncRNA
chr6	30206926	30209834	-	LOC110481813	30206926	lncRNA
chr6	30718190	30724329	-	LOC110478377	30718190	lncRNA
chr6	30732093	30752084	-	LOC110478376	30732093	lncRNA
chr6	30753294	30760706	-	LOC110478378	30753294	lncRNA
chr6	30911714	30928658	-	MKI67	30911714	protein_coding
chr6	30935635	31043356	-	PTPRE	30935635	
chr6	31051022	31060821	+	CLRN3	31051022	protein_coding
chr6	31110363	31112493	-	NPS	31110363	protein_coding
chr6	31148835	31419691	-	DOCK1	31148835	
chr6	31290333	31335602	+	INSYN2A	31290333	protein_coding
chr6	31493676	31553621	+	C6H10orf90	31493676	protein_coding
chr6	31567121	31758417	+	ADAM12	31567121	protein_coding
chr6	31785840	31808768	+	DHX32	31785840	protein_coding
chr6	31808990	31816659	-	BCCIP	31808990	protein_coding
chr6	31816952	31826635	+	UROS	31816952	protein_coding
chr6	31827461	31848544	-	EDRF1	31827461	protein_coding
chr6	31850738	31855473	+	TEX36	31850738	protein_coding
chr6	32089272	32145215	+	CTBP2	32089272	protein_coding
chr6	32145607	32189622	-	ZRANB1	32145607	
chr6	32220837	32236472	-	ABRAXAS2	32220837	protein_coding
chr6	32239836	32249064	+	EEF1AKMT2	32239836	
chr6	32255355	32301117	+	FAM53B	32255355	protein_coding
chr6	32302019	32376375	-	LHPP	32302019	
chr6	32379093	32381151	+	NKX1-2	32379093	protein_coding
chr6	32394060	32406581	+	OAT	32394060	
chr6	32535683	32582089	+	CHST15	32535683	protein_coding
chr6	32623597	32701547	+	CPXM2	32623597	
chr6	32707311	32726720	-	GPR26	32707311	
chr6	32938314	32955780	-	BUB3	32938314	
chr6	32956961	32958695	-	HMX2	32956961	protein_coding
chr6	32966852	32968154	-	HMX3	32966852	protein_coding
chr6	33000693	33014974	-	ACADSB	33000693	protein_coding
chr6	33015096	33025203	+	IKZF5	33015096	protein_coding
chr6	33027084	33032685	-	PSTK	33027084	protein_coding
chr6	33035736	33049373	-	LOC110468450	33035736	protein_coding
chr6	33052477	33060567	+	C6H10orf88	33052477	
chr6	33061065	33064853	-	LOC110468442	33061065	lncRNA
chr6	33081448	33089289	-	LOC110468452	33081448	protein_coding
chr6	33098121	33122776	-	LOC110468453	33098121	protein_coding
chr6	33141343	33193116	-	HTRA1	33141343	
chr6	33199991	33217558	-	LOC110483618	33199991	protein_coding
chr6	33230535	33249164	-	LOC110470005	33230535	protein_coding
chr6	33292853	33423696	-	TACC2	33292853	
chr6	33428655	33437273	+	NSMCE4A	33428655	protein_coding
chr6	33436108	33438452	-	LOC110470002	33436108	lncRNA
chr6	33438055	33506829	+	ATE1	33438055	protein_coding
chr6	33570490	33657455	+	FGFR2	33570490	protein_coding
chr6	33661915	33679090	+	LOC116183790	33661915	lncRNA
chr6	33841285	33876441	-	WDR11	33841285	protein_coding
chr6	33910592	33912841	-	LOC116183791	33910592	lncRNA
chr6	33954146	34001683	-	PLPP4	33954146	protein_coding
chr6	34002093	34050607	+	LOC110469996	34002093	lncRNA
chr6	34144558	34166545	-	SEC23IP	34144558	protein_coding
chr6	34166358	34180769	+	MCMBP	34166358	protein_coding
chr6	34182163	34220640	-	INPP5F	34182163	protein_coding
chr6	34241522	34257708	-	BAG3	34241522	protein_coding
chr6	34266398	34269973	-	LOC116183816	34266398	lncRNA
chr6	34269694	34297278	+	TIAL1	34269694	
chr6	34297939	34318875	+	RGS10	34297939	
chr6	34335675	34491137	-	GRK5	34335675	
chr6	34499378	34505147	+	PRDX3	34499378	protein_coding
chr6	34506381	34516372	+	SFXN4	34506381	protein_coding
chr6	34519915	34529561	-	DENND10	34519915	
chr6	34532444	34559879	+	EIF3A	34532444	protein_coding
chr6	34543494	34543626	+	LOC116183819	34543494	snoRNA
chr6	34561670	34567374	-	NANOS1	34561670	
chr6	34697298	34738499	+	CACUL1	34697298	protein_coding
chr6	34790665	34798645	+	PRLHR	34790665	protein_coding
chr6	34903779	34922346	+	FAM204A	34903779	protein_coding
chr6	35029381	35030528	-	LOC110477040	35029381	lncRNA
chr6	35039315	35062001	-	MSH4	35039315	protein_coding
chr6	35062937	35097392	-	ALDH18A1	35062937	
chr6	35098559	35114882	-	TCTN3	35098559	protein_coding
chr6	35120196	35186829	+	CFAP46	35120196	protein_coding
chr6	35197274	35204062	-	LOC110477039	35197274	protein_coding
chr6	35217426	35219983	+	NKX6-2	35217426	protein_coding
chr6	35221875	35408910	-	INPP5A	35221875	protein_coding
chr6	35433328	35443191	+	LOC116183792	35433328	lncRNA
chr6	35484087	35501617	-	PWWP2B	35484087	protein_coding
chr6	35526824	35594353	+	STK32C	35526824	
chr6	35593671	35609538	-	DPYSL4	35593671	
chr6	35615796	35625689	-	LOC110477036	35615796	lncRNA
chr6	35626952	35687541	-	JAKMIP3	35626952	
chr6	35694714	35701946	+	BNIP3	35694714	protein_coding
chr6	35703585	35726606	-	PPP2R2D	35703585	protein_coding
chr6	35734954	35738482	+	LOC116183793	35734954	lncRNA
chrUn_NW_021820105v1	1	1760	+	LOC110471140	1	protein_coding
chrUn_NW_021819344v1	947	14450	-	LOC116184780	947	protein_coding
chrUn_NW_021819456v1	1847	5992	+	LOC116184785	1847	protein_coding
chrUn_NW_021818280v1	12883	20172	+	LOC110481828	12883	lncRNA
chrUn_NW_021819535v1	31	5243	-	CUNH19orf54	31	protein_coding
chrUn_NW_021819535v1	18476	22169	-	LOC110475817	18476	protein_coding
chrUn_NW_021819286v1	24243	24856	-	LOC110484397	24243	protein_coding
chrUn_NW_021819497v1	1357	2396	+	LOC110468559	1357	protein_coding
chrUn_NW_021819119v1	75854	77747	+	LOC110481100	75854	lncRNA
chrUn_NW_021819119v1	125857	128465	+	LOC116184700	125857	protein_coding
chrUn_NW_021819119v1	128497	131395	+	LOC116184699	128497	protein_coding
chrUn_NW_021819119v1	150329	165207	-	MAPK7	150329	protein_coding
chrUn_NW_021819119v1	166802	197980	+	LOC110481099	166802	protein_coding
chrUn_NW_021819138v1	239	1909	+	LOC110467613	239	protein_coding
chrUn_NW_021819253v1	750	53910	-	LOC110483899	750	protein_coding
chrUn_NW_021819836v1	8	1704	+	LOC116184796	8	protein_coding
chrUn_NW_021819836v1	1842	16034	-	LOC110475820	1842	protein_coding
chrUn_NW_021820045v1	275	1801	+	LOC110470992	275	protein_coding
chrUn_NW_021819049v1	789	908	+	LOC116184672	789	snoRNA
chrUn_NW_021820177v1	154	1674	-	LOC110471394	154	lncRNA
chrUn_NW_021819108v1	2034	22119	-	LOC110478825	2034	protein_coding
chrUn_NW_021819108v1	13032	19115	+	RBM14	13032	
chrUn_NW_021819108v1	24453	60872	-	LOC110478830	24453	protein_coding
chrUn_NW_021819108v1	68017	68299	+	LOC110478855	68017	lncRNA
chrUn_NW_021819108v1	69815	72069	+	RCE1	69815	protein_coding
chrUn_NW_021819108v1	74265	75627	-	ZBTB3	74265	protein_coding
chrUn_NW_021819108v1	78950	90207	+	GANAB	78950	protein_coding
chrUn_NW_021819108v1	102262	126328	+	LOC110478833	102262	protein_coding
chrUn_NW_021819108v1	126687	136608	+	MTA2	126687	protein_coding
chrUn_NW_021819108v1	137953	141488	+	TUT1	137953	protein_coding
chrUn_NW_021819108v1	141751	142423	+	LOC110478854	141751	lncRNA
chrUn_NW_021819108v1	145073	149457	-	TAF6L	145073	protein_coding
chrUn_NW_021819108v1	160475	160723	+	LOC110478862	160475	lncRNA
chrUn_NW_021819108v1	167773	167840	-	LOC116184687	167773	snoRNA
chrUn_NW_021819108v1	168968	169094	-	LOC116184689	168968	snoRNA
chrUn_NW_021819108v1	170065	170132	-	LOC116184688	170065	snoRNA
chrUn_NW_021819108v1	170712	170785	-	LOC116184686	170712	snoRNA
chrUn_NW_021819108v1	173183	176384	+	MRPL49	173183	protein_coding
chrUn_NW_021819108v1	176990	188975	-	SYVN1	176990	
chrUn_NW_021819108v1	189733	190356	+	LOC110478863	189733	lncRNA
chrUn_NW_021819108v1	195139	201150	+	CAPN1	195139	protein_coding
chrUn_NW_021819108v1	202347	207714	+	POLA2	202347	protein_coding
chrUn_NW_021819108v1	212849	223315	+	CDC42EP2	212849	
chrUn_NW_021819108v1	223427	240313	+	DPF2	223427	
chrUn_NW_021819108v1	238302	248484	-	LOC110478841	238302	
chrUn_NW_021819108v1	251514	256054	-	LOC110478828	251514	protein_coding
chrUn_NW_021819108v1	257135	262360	-	LOC110478842	257135	protein_coding
chrUn_NW_021819108v1	266239	270359	-	DRAP1	266239	protein_coding
chrUn_NW_021819108v1	270577	278378	-	RELA	270577	protein_coding
chrUn_NW_021819108v1	278377	288713	+	KAT5	278377	protein_coding
chrUn_NW_021819108v1	288546	290162	-	RNASEH2C	288546	protein_coding
chrUn_NW_021819108v1	292166	296212	+	OVOL1	292166	protein_coding
chrUn_NW_021819108v1	297931	316668	-	PC	297931	protein_coding
chrUn_NW_021819108v1	318915	326014	+	RTN3	318915	protein_coding
