finch,mouse
TCEANC,TCEANC
C2CD3,C2CD3
VPS36,VPS36
TTC32,TTC32
HPSE,HPSE
DNAJB13,DNAJB13
MED14,MED14
SNAP91,SNAP91
UCP3,UCP3
ATP6AP2,ATP6AP2
EGFL6,EGFL6
PAAF1,PAAF1
GTPBP6,GTPBP6
BCOR,BCOR
MRPL48,MRPL48
MATN3,MATN3
ATP13A1,ATP13A1
GPR63,GPR63
ABRAXAS1,FAM175A
LOC110483431,KIFC1
TRPA1,TRPA1
PLCXD1,PLCXD1
INSYN2A,FAM196A
EOMES,EOMES
RPP38,RPP38
PDIA6,PDIA6
CMC1,CMC1
CLRN3,CLRN3
AZI2,AZI2
MID1IP1,MID1IP1
MRPS31,MRPS31
HPGD,HPGD
KCNF1,KCNF1
FOXO1,FOXO1
FAM168A,FAM168A
UFL1,UFL1
FBXL12,FBXL12
SLC66A3,PQLC3
OLAH,OLAH
PLEKHB1,PLEKHB1
UBL5,UBL5
CA8,CA8
COG6,COG6
TMEM196,TMEM196
PIN1,PIN1
NHLRC3,NHLRC3
RP2,RP2
E2F6,E2F6
PROSER1,PROSER1
GREB1,GREB1
RAB2A,RAB2A
MAP7D2,MAP7D2
OTC,OTC
FBXO8,FBXO8
EIF3G,EIF3G
CEP44,CEP44
BCLAF3,CXorf23
TUBGCP5,TUBGCP5
SH3KBP1,SH3KBP1
TRIM13,TRIM13
TERF1,TERF1
BMP3,BMP3
MRPL53,MRPL53
DNMT1,DNMT1
SRPX,SRPX
TRIB2,TRIB2
CEP162,CEP162
RNASEH2B,RNASEH2B
P2RY2,P2RY2
ADHFE1,ADHFE1
HERC2,HERC2
FAM124A,FAM124A
FCHSD2,FCHSD2
OCA2,OCA2
SERPINE3,SERPINE3
MYBL1,MYBL1
RPS3,RPS3
NXNL1,NXNL1
PGLS,PGLS
LRATD1,FAM84A
VCPIP1,VCPIP1
TMEM106B,TMEM106B
SERPINH1,SERPINH1
GALNT7,GALNT7
DLX6,DLX6
NBAS,NBAS
SCRG1,SCRG1
ADGRG2,ADGRG2
PRSS35,PRSS35
OLFM4,OLFM4
DYNLT3,DYNLT3
NSMAF,NSMAF
PCDH8,PCDH8
DUSP4,DUSP4
RWDD2A,RWDD2A
CNMD,LECT1
CMTM7,CMTM7
LOC110484735,CYP7B1
PGM3,PGM3
SUGT1,SUGT1
ERI1,ERI1
RS1,RS1
DDX1,DDX1
GGH,GGH
ELF1,ELF1
TTPA,TTPA
DOP1A,DOPEY2
TWISTNB,TWISTNB
KLHL15,KLHL15
PPP1R3B,PPP1R3B
WBP4,WBP4
ID2,ID2
ARMC1,ARMC1
SAT1,SAT1
NUP98,NUP98
MTFR1,MTFR1
KIDINS220,KIDINS220
C3,C3
BMP2K,BMP2K
PGAP2,PGAP2
MTRF1,MTRF1
PAQR3,PAQR3
LOC110483996,CENPA
IBTK,IBTK
BET1,BET1
LOC110478274,CYP21A1
ANTXR2,ANTXR2
RGCC,RGCC
ACOT9,ACOT9
PRKG2,PRKG2
MBOAT2,MBOAT2
PKD2,PKD2
MAP3K7,MAP3K7
AREG,AREG
STIM1,STIM1
HEPACAM2,HEPACAM2
RRM1,RRM1
VPS50,VPS50
VWA8,VWA8
MRI1,MRI1
ELOF1,ELOF1
PHEX,PHEX
ITGB1BP1,ITGB1BP1
VEGFC,VEGFC
ACP5,ACP5
PEX2,PEX2
SMS,SMS
AKAP11,AKAP11
CPSF3,CPSF3
NFIX,NFIX
BACH2,BACH2
MBTPS2,MBTPS2
TNFSF11,TNFSF11
IAH1,IAH1
IL7,IL7
CASP8AP2,CASP8AP2
LYRM2,LYRM2
EREG,EREG
HEY1,HEY1
EPSTI1,EPSTI1
ZFAND1,ZFAND1
GPM6A,GPM6A
ADAM17,ADAM17
FARSA,FARSA
DNAJC15,DNAJC15
CASD1,CASD1
ASNS,ASNS
UBE2J1,UBE2J1
WDR17,WDR17
SPEF1,SPATA4
PKIA,PKIA
C1GALT1,C1GALT1
ASB5,ASB5
SNX16,SNX16
PM20D2,PM20D2
PNRC1,PNRC1
KCNS3,KCNS3
IMPAD1,IMPAD1
CCDC122,CCDC122
TSC22D1,TSC22D1
ADI1,ADI1
FAM110B,FAM110B
RPS7,RPS7
COLEC11,COLEC11
RNGTT,RNGTT
NUFIP1,NUFIP1
GPALPP1,GPALPP1
UBXN2B,UBXN2B
GTF2F2,GTF2F2
KCTD4,KCTD4
NOL10,NOL10
GDAP1,GDAP1
PPM1K,PPM1K
CNR1,CNR1
TPT1,TPT1
RPL7,RPL7
RDH10,RDH10
RSAD2,RSAD2
SNX13,SNX13
COG3,COG3
MYCN,MYCN
LOC110467928,RDH14
AKIRIN2,AKIRIN2
POLR2B,POLR2B
TRAPPC5,TRAPPC5
ERICH1,ERICH1
NOA1,NOA1
MACC1,MACC1
SARAF,SARAF
TDRP,TDRP
ORC3,ORC3
SIAH3,SIAH3
ENPEP,ENPEP
FBXO25,FBXO25
RARS2,RARS2
STAU2,STAU2
ZC3H13,ZC3H13
SRP72,SRP72
CPB2,CPB2
SLCO5A1,SLCO5A1
FAM110C,FAM110C
SLC35A1,SLC35A1
UGT8,UGT8
HDAC9,HDAC9
SMIM8,SMIM8
ITGB8,ITGB8
LACTB2,LACTB2
EGF,EGF
LOC110480956,PGLYRP2
KLHL8,KLHL8
SH3YL1,SH3YL1
RUBCNL,RUBCNL
SP4,SP4
ZNF292,ZNF292
RRH,RRH
IRAK1BP1,IRAK1BP1
ACP1,ACP1
ALKAL2,FAM150B
GAR1,GAR1
CGA,CGA
LRCH1,LRCH1
TMEM18,TMEM18
CFI,CFI
MEI4,MEI4
XKR9,XKR9
ESD,ESD
PLA2G12A,PLA2G12A
PHF14,PHF14
ELOC,TCEB1
SUCLA2,SUCLA2
TMEM70,TMEM70
NUDT15,NUDT15
AKAP8L,AKAP8L
LY96,LY96
MED4,MED4
CLUL1,CLUL1
ARHGAP24,ARHGAP24
CASP6,CASP6
TYMS,TYMS
ITM2B,ITM2B
OPRK1,OPRK1
COPS4,COPS4
MCUB,MCUB
RB1,RB1
HTR1E,HTR1E
RPA3,RPA3
SEC31A,SEC31A
IMPG1,IMPG1
UMAD1,UMAD1
SNTG1,SNTG1
PENK,PENK
MYO6,MYO6
CHCHD7,CHCHD7
TMEM150C,TMEM150C
ENOPH1,ENOPH1
ICA1,ICA1
LARP7,LARP7
CDADC1,CDADC1
SENP6,SENP6
ALPK1,ALPK1
PLAG1,PLAG1
PDE7A,PDE7A
LOC110469585,SETDB2
FILIP1,FILIP1
LOC110468125,MEP1B
TIFA,TIFA
LOC110484723,SGK3
LOC110483970,COX7A2
AP1AR,AP1AR
RPS20,RPS20
RB1CC1,RB1CC1
NCOA7,NCOA7
ANKRD50,ANKRD50
COL12A1,COL12A1
AGMO,AGMO
ECHDC1,ECHDC1
SPRY1,SPRY1
TRIM55,TRIM55
NDUFAF4,NDUFAF4
MCMDC2,MCMDC2
NUDT6,NUDT6
ST18,ST18
NUP54,NUP54
CROT,CROT
RBBP8,RBBP8
PPP1R42,PPP1R42
NAAA,NAAA
SPRYD7,SPRYD7
SDAD1,SDAD1
COPS5,COPS5
ST8SIA6,ST8SIA6
CPA6,CPA6
RNF146,RNF146
RSPO3,RSPO3
REPS1,REPS1
SNX14,SNX14
SPAG6,SPAG6
TAF1B,TAF1B
NHSL1,NHSL1
ADAD1,ADAD1
RUFY3,RUFY3
CCNC,CCNC
ADAM22,ADAM22
TMEM241,TMEM241
ARFGEF3,ARFGEF3
MEOX2,MEOX2
RPS12,RPS12
SLC18B1,SLC18B1
CRPPA,ISPD
PNISR,PNISR
NPC2,NPC2
LOC110468135,DSG2
PDLIM5,PDLIM5
TRDMT1,TRDMT1
LTBP2,LTBP2
COQ3,COQ3
STX7,STX7
DIO2,DIO2
DHDH,DHDH
ZNF438,ZNF438
SOSTDC1,SOSTDC1
FAXC,FAXC
CEP128,CEP128
MOXD1,MOXD1
ANKMY2,ANKMY2
GC,GC
TSHR,TSHR
TSPAN13,TSPAN13
ATP6V1H,ATP6V1H
SYNJ2,SYNJ2
MMS22L,MMS22L
ILDR1,ILDR1
AGR2,AGR2
ZBTB10,ZBTB10
ISCA2,ISCA2
PNLDC1,PNLDC1
AGR3,AGR3
BOC,BOC
RGS20,RGS20
STXBP6,STXBP6
RAP1GDS1,RAP1GDS1
MRPL18,MRPL18
TCP1,TCP1
NOVA1,NOVA1
ANKRD17,ANKRD17
ACAT2,ACAT2
CLDND1,CLDND1
SRI,SRI
AGA,AGA
NEIL3,NEIL3
JDP2,JDP2
TULP4,TULP4
STEAP4,STEAP4
ABHD10,ABHD10
WTAP,WTAP
MRPL15,MRPL15
ZNF804B,ZNF804B
CUL2,CUL2
PAG1,PAG1
ERMARD,ERMARD
TMPRSS7,TMPRSS7
RSU1,RSU1
STEAP2,STEAP2
ZPLD1,ZPLD1
XKR4,XKR4
MINDY3,FAM188A
CDX2,CDX2
RRS1,RRS1
TCTE3,TCTE3
TGS1,TGS1
MBIP,MBIP
PHF10,PHF10
HBS1L,HBS1L
METAP1,METAP1
GTPBP10,GTPBP10
NKX2-1,NKX2-1
C3H6orf120,C6orf120
ELMOD1,ELMOD1
BBX,BBX
OTUD1,OTUD1
WDR27,WDR27
ALKBH8,ALKBH8
LAMA2,LAMA2
CLDN12,CLDN12
CD47,CD47
PTER,PTER
TRMT10A,TRMT10A
FLT3,FLT3
IFT57,IFT57
HTR2A,HTR2A
CDK14,CDK14
NKX2-8,NKX2-8
RIOK3,RIOK3
ZC3H12C,ZC3H12C
RMC1,C18orf8
ATM,ATM
AKAP9,AKAP9
ZEB1,ZEB1
SLC25A21,SLC25A21
LOC110470046,NPAT
MIPOL1,MIPOL1
ACAT1,ACAT1
ANKIB1,ANKIB1
HEY2,HEY2
UBA6,UBA6
GATAD1,GATAD1
CUL5,CUL5
ANKRD29,ANKRD29
FRMD1,FRMD1
ISM2,ISM2
KIF25,KIF25
HDDC2,HDDC2
SVIL,SVIL
DDX10,DDX10
ALKBH1,ALKBH1
AFDN,AFDN
PEX1,PEX1
TPD52L1,TPD52L1
JCAD,KIAA1462
LOC110477022,TRAT1
RBM48,RBM48
SLN,SLN
MTPAP,MTPAP
SNW1,SNW1
FNDC1,FNDC1
EFCAB1,EFCAB1
MAP3K8,MAP3K8
GUCA1C,GUCA1C
CDK6,CDK6
POGLUT3,KDELC2
THOC1,THOC1
FAT4,FAT4
USP14,USP14
THNSL1,THNSL1
POMP,POMP
ENKUR,ENKUR
TRDN,TRDN
GREB1L,GREB1L
TTLL5,TTLL5
RASSF6,RASSF6
PRTFDC1,PRTFDC1
MIB1,MIB1
MTIF3,MTIF3
MED23,MED23
DCT,DCT
CCDC170,CCDC170
GTF3A,GTF3A
AKAP7,AKAP7
TTC39C,TTC39C
ALCAM,ALCAM
CWF19L2,CWF19L2
IFT43,IFT43
VMO1,VMO1
METTL21C,METTL21C
CBLB,CBLB
GUCY1A2,GUCY1A2
GPATCH2L,GPATCH2L
OSBPL1A,OSBPL1A
TPP2,TPP2
BAMBI,BAMBI
AASDHPPT,AASDHPPT
WAC,WAC
IMPACT,IMPACT
ESR1,ESR1
KBTBD3,KBTBD3
MSANTD4,MSANTD4
EPB41L2,EPB41L2
ITGBL1,ITGBL1
TAF13,TAF13
BBS7,BBS7
CCNA2,CCNA2
GTPBP8,GTPBP8
NALCN,NALCN
ANGEL1,ANGEL1
EXOSC9,EXOSC9
ZDHHC22,ZDHHC22
TMTC4,TMTC4
TMEM63C,TMEM63C
VIP,VIP
CCDC80,CCDC80
NGB,NGB
KIAA1217,KIAA1217
TMEM200A,TMEM200A
PDGFD,PDGFD
KLHL14,KLHL14
SAMD3,SAMD3
ANXA5,ANXA5
ATG3,ATG3
ITIH2,ITIH2
SLC19A2,SLC19A2
KIN,KIN
GSTZ1,GSTZ1
IPCEF1,IPCEF1
DAPP1,DAPP1
CCDC181,CCDC181
FLT1,FLT1
ATP5F1C,ATP5C1
CNKSR3,CNKSR3
TAF3,TAF3
BLZF1,BLZF1
PAN3,PAN3
ARMC4,ARMC4
PSPC1,PSPC1
SCAF8,SCAF8
TIAM2,TIAM2
ASXL3,ASXL3
LAMTOR3,LAMTOR3
YME1L1,YME1L1
IL20RA,IL20RA
CHCHD3,CHCHD3
SLC35D3,SLC35D3
TFB1M,TFB1M
DNAJB14,DNAJB14
CLDN20,CLDN20
VIPAS39,VIPAS39
NME7,NME7
AHSA1,AHSA1
PEX7,PEX7
DCTN1,DCTN1
PCGF1,PCGF1
RNF17,RNF17
FBXO30,FBXO30
ARHGAP20,ARHGAP20
DNAJC3,DNAJC3
TNIP3,TNIP3
SHPRH,SHPRH
ATP1B1,ATP1B1
MAP7,MAP7
AUP1,AUP1
CCDC3,CCDC3
DPT,DPT
CPOX,CPOX
CLDN10,CLDN10
MCM10,MCM10
PHYH,PHYH
MICU2,MICU2
BCLAF1,BCLAF1
ABCC4,ABCC4
BEND7,BEND7
CEBPD,CEBPD
APBB1IP,APBB1IP
MTFR2,MTFR2
PRKDC,PRKDC
LOC110481923,DHRS4
ST3GAL6,ST3GAL6
ZNF770,ZNF770
PRDM5,PRDM5
MAD2L1,MAD2L1
AQR,AQR
PDE7B,PDE7B
GPR180,GPR180
TBX19,TBX19
LOC110468846,SASH1
BANK1,BANK1
MRPL57,MRPL57
TIPRL,TIPRL
UST,UST
GPR161,GPR161
RPL7L1,RPL7L1
ZC3H12D,ZC3H12D
TGDS,TGDS
AHI1,AHI1
SKA3,SKA3
TTF2,TTF2
PPIL4,PPIL4
COL8A1,COL8A1
TMEM181,TMEM181
NFKB1,NFKB1
XPO4,XPO4
GINM1,GINM1
G2E3,G2E3
DCBLD2,DCBLD2
GGACT,GGACT
TNPO3,TNPO3
KLF6,KLF6
PPDPFL,C8orf22
MKX,MKX
SMO,SMO
SCFD1,SCFD1
DYNLT1,DYNLT1
LATS1,LATS1
FABP2,FABP2
USP53,USP53
SS18,SS18
COCH,COCH
SMARCAD1,SMARCAD1
EEF1AKMT1,EEF1AKMT1
PCCA,PCCA
LARP4B,LARP4B
HPGDS,HPGDS
SYTL3,SYTL3
SYNPO2,SYNPO2
NUP43,NUP43
IL17D,IL-17D
SUSD1,SUSD1
GTPBP4,GTPBP4
LOC110481571,OPN4-1
AP4S1,AP4S1
TAF4B,TAF4B
KCTD1,KCTD1
AQP4,AQP4
RPL34,RPL34
LRP11,LRP11
METTL14,METTL14
WDR37,WDR37
CRYL1,CRYL1
IYD,IYD
CMSS1,CMSS1
TAGAP,TAGAP
FILIP1L,FILIP1L
RSPH3,RSPH3
HECTD1,HECTD1
PLEKHG1,PLEKHG1
TBC1D23,TBC1D23
PARD3,PARD3
TMEM215,TMEM215
PHACTR2,PHACTR2
NRP1,NRP1
NIT2,NIT2
ITGB1,ITGB1
HADH,HADH
MOS,MOS
TOMM70,TOMM70
LOC110468021,CYP2U1
UBAC2,UBAC2
SGMS2,SGMS2
EPC1,EPC1
PEX3,PEX3
NUBPL,NUBPL
AKAP12,AKAP12
ECHDC3,ECHDC3
ADAT2,ADAT2
ZBTB2,ZBTB2
PROSER2,PROSER2
AIG1,AIG1
RMND1,RMND1
TET2,TET2
ARHGAP12,ARHGAP12
HIVEP2,HIVEP2
GPR18,GPR18
AKAP6,AKAP6
TFG,TFG
RASL11A,RASL11A
RPL21,RPL21
UFSP2,UFSP2
FRMD4A,FRMD4A
UPF2,UPF2
VTA1,VTA1
NMBR,NMBR
LRP2BP,LRP2BP
NPAS3,NPAS3
SNX25,SNX25
CFAP97,CFAP97
ABI3BP,ABI3BP
DNAJC1,DNAJC1
EGLN3,EGLN3
MYB,MYB
SLITRK5,SLITRK5
CCNH,CCNH
IMPG2,IMPG2
RNF6,RNF6
MLLT10,MLLT10
SPTSSA,SPTSSA
EAPP,EAPP
CITED2,CITED2
BRMS1L,BRMS1L
NFKBIA,NFKBIA
NUDT5,NUDT5
SLITRK6,SLITRK6
TXLNB,TXLNB
SLITRK1,SLITRK1
SENP7,TXNL4B
UGCG,UGCG
HSPA14,HSPA14
HECA,HECA
SHISA2,SHISA2
ABRACL,ABRACL
VPS16,VPS16
AREL1,AREL1
NUP58,NUP58
FCF1,FCF1
SLC2A12,SLC2A12
PDE10A,PDE10A
NOP56,NOP56
DCLRE1C,DCLRE1C
MALRD1,MALRD1
GIMD1,GIMD1
TRMT10C,TRMT10C
CDC123,CDC123
AMER2,AMER2
TNFAIP3,TNFAIP3
MEIG1,MEIG1
NSUN6,NSUN6
ZBTB11,ZBTB11
AIMP1,AIMP1
RALGAPA1,RALGAPA1
TMEM243,TMEM243
BIVM,BIVM
RPL24,RPL24
POGLUT2,KDELC1
DMTF1,DMTF1
WDR54,WDR54
ARHGAP18,ARHGAP18
PACRG,PACRG
TMEM242,TMEM242
CEP97,CEP97
TBCK,TBCK
ZDHHC14,ZDHHC14
CACNB2,CACNB2
DLST,DLST
EDIL3,EDIL3
NXPE3,NXPE3
SLC39A12,SLC39A12
SHOC1,C9orf84
MKLN1,MKLN1
EIF2B2,EIF2B2
MOGS,MOGS
ATP6AP1L,ATP6AP1L
MLH3,MLH3
MIPEP,MIPEP
GAREM1,GAREM1
CCDC142,CCDC142
TNFRSF19,TNFRSF19
SNX9,SNX9
TBPL1,TBPL1
NEK9,NEK9
RPS23,RPS23
PRKN,PARK2
TMED10,TMED10
RBM17,RBM17
GSTCD,GSTCD
CGGBP1,CGGBP1
SGCG,SGCG
ATG10,ATG10
INTS12,INTS12
VSX2,VSX2
C1H3orf38,C3orf38
SUPT20H,SUPT20H
C9orf72,C9orf72
LOC110482504,COX7C
PROS1,PROS1
MAP3K4,MAP3K4
EXOSC8,EXOSC8
CENPW,CENPW
ARL13B,ARL13B
GNG10,GNG10
VRTN,VRTN
TRMT11,TRMT11
LOC110476010,SLC22A3
GCC1,GCC1
ALG5,ALG5
ABCD4,ABCD4
ANAPC10,ANAPC10
SYNDIG1L,SYNDIG1L
STX19,STX19
ALDH8A1,ALDH8A1
HHIP,HHIP
RFXAP,RFXAP
HINT3,HINT3
SMC2,SMC2
NSUN3,NSUN3
PPP6R2,PPP6R2
IGF2R,IGF2R
GEMIN2,GEMIN2
CCNA1,CCNA1
OLIG3,OLIG3
CAAP1,CAAP1
SPART,SPG20
PNN,PNN
OTUD4,OTUD4
RGS17,RGS17
MMAA,MMAA
LSAMP,LSAMP
SOD2,SOD2
PLAA,PLAA
IFT74,IFT74
FGFR1OP,FGFR1OP
GAP43,GAP43
UBE2H,UBE2H
ZNF827,ZNF827
FBXO33,FBXO33
ZNF410,ZNF410
TAB2,TAB2
LSM6,LSM6
ZC3HC1,ZC3HC1
FAM161B,FAM161B
KLHDC10,KLHDC10
DRD3,DRD3
TEK,TEK
RFC3,RFC3
SMOC2,SMOC2
TMEM209,TMEM209
ZDHHC23,ZDHHC23
COQ6,COQ6
USP10,USP10
LOC110480944,SLC10A7
ENTPD5,ENTPD5
ALDH6A1,ALDH6A1
CEP41,CEP41
TTC29,TTC29
ACOT12,ACOT12
MEST,MEST
KL,KL
TMEM184C,TMEM184C
GRAMD1C,GRAMD1C
LIN52,LIN52
DACT2,DACT2
SF3B5,SF3B5
FBH1,FBXO18
PRMT9,PRMT9
ANKRD16,ANKRD16
ARHGAP10,ARHGAP10
LINGO2,LINGO2
IRF8,IRF8
SRP54,SRP54
N4BP2L1,N4BP2L1
NR3C2,NR3C2
BRCA2,BRCA2
FAM177A1,FAM177A1
PPP2R3C,PPP2R3C
LOC110474501,COX4I1
PSMA6,PSMA6
XRCC4,XRCC4
GTF2A1,GTF2A1
STON2,STON2
SEL1L,SEL1L
TMEM167A,TMEM167A
FOXG1,FOXG1
EFCAB2,EFCAB2
B3GLCT,B3GLCT
ID4,ID4
UCN3,UCN3
ALOX5AP,ALOX5AP
KIF26B,KIF26B
ZCCHC14,ZCCHC14
PGBD5,PGBD5
CA7,CA7
USPL1,USPL1
SLC35B4,SLC35B4
POLH,POLH
LRGUK,LRGUK
SNX30,SNX30
LOC110470905,EXOC4
INIP,INIP
NCAM2,NCAM2
UBL3,UBL3
PRIMPOL,PRIMPOL
ZCCHC9,ZCCHC9
CRYBG3,ARL6
IRF2,IRF2
BLVRA,BLVRA
RIOX2,MINA
VOPP1,VOPP1
VGLL3,VGLL3
ENPP6,ENPP6
SLC30A6,SLC30A6
LANCL2,LANCL2
EPM2A,EPM2A
MTHFSD,MTHFSD
MSH3,MSH3
BEAN1,BEAN1
SPAST,SPAST
NFATC1,NFATC1
CADM2,CADM2
DPY30,DPY30
STOX2,STOX2
ZFYVE16,ZFYVE16
TRAPPC11,TRAPPC11
CCDC125,CCDC125
AK6,AK6
GAN,GAN
RWDD4,RWDD4
LOC110470056,MMP13
SALL3,SALL3
RAD17,RAD17
ING2,ING2
NOX4,NOX4
MEMO1,MEMO1
CMIP,CMIP
CDKN2AIP,CDKN2AIP
EGFR,EGFR
EIF2AK2,EIF2AK2
NANP,NANP
WWC2,WWC2
SEC61G,SEC61G
SDR42E1,SDR42E1
LOC110479573,HCLS1
GPATCH11,GPATCH11
DCTD,DCTD
NME6,NME6
C1H21orf91,C21orf91
RNF144B,RNF144B
HSD17B2,HSD17B2
NFX1,NFX1
CTSC,CTSC
MPHOSPH6,MPHOSPH6
TMPRSS15,TMPRSS15
VIT,VIT
CDH13,CDH13
DCUN1D5,DCUN1D5
HSBP1,HSBP1
FEZ2,FEZ2
NDUFS6,NDUFS6
TRIP13,TRIP13
WFDC1,WFDC1
GATB,GATB
ELP2,ELP2
SEC61B,SEC61B
SMKR1,SMKR1
TMEM154,TMEM154
ALG2,ALG2
MEAK7,TLDC1
BIRC6,BIRC6
DLK2,DLK2
TMEM123,TMEM123
ZNF318,ZNF318
COTL1,COTL1
CTNNAL1,CTNNAL1
HTR1F,HTR1F
SLC9A3,SLC9A3
FAM98A,FAM98A
ARFIP1,ARFIP1
ABITRAM,FAM206A
FHDC1,FHDC1
RASGRP3,RASGRP3
ADAMTS18,ADAMTS18
LTBP1,LTBP1
COG2,COG2
CSGALNACT1,CSGALNACT1
HSPA13,HSPA13
PRSS23,PRSS23
TPMT,DEK
AGT,AGT
SH2D4A,SH2D4A
FZD4,FZD4
KDM1B,KDM1B
VAT1L,VAT1L
CLEC3A,CLEC3A
SIRT5,SIRT5
NOL7,NOL7
INTS10,INTS10
SAMSN1,SAMSN1
C3H1orf198,C1orf198
ZNF236,ZNF236
MCUR1,MCUR1
HGSNAT,HGSNAT
MAF,MAF
TTC13,TTC13
ARV1,ARV1
PRCP,PRCP
POMK,POMK
CDYL2,CDYL2
NRIP1,NRIP1
SMIM19,SMIM19
GUCY1A1,GUCY1A3
TFAP2B,TFAP2B
CMC2,CMC2
TFAP2D,TFAP2D
FAM181B,FAM181B
VSTM2A,VSTM2A
CENPN,CENPN
INTU,INTU
ATMIN,ATMIN
TYR,TYR
ZNF516,ZNF516
INHBA,INHBA
GCSH,GCSH
MSMO1,MSMO1
PSMB1,PSMB1
PLK4,PLK4
BCO1,BCO1
CPE,CPE
GLI3,GLI3
USP38,USP38
DCAF6,DCAF6
XKR5,TRAM2
MFSD8,MFSD8
TIMMDC1,TIMMDC1
EFHC1,EFHC1
GAB1,GAB1
FHOD3,FHOD3
C2H7orf25,C7orf25
MRPL32,MRPL32
NAF1,NAF1
IRX1,IRX1
GALNS,GALNS
ANKS6,ANKS6
TRAPPC2L,TRAPPC2L
POGLUT1,POGLUT1
NPY1R,NPY1R
FAM120B,FAM120B
YAP1,YAP1
ABHD18,ABHD18
STK17A,STK17A
EIF3E,EIF3E
DLL1,DLL1
CFAP300,C11orf70
LRRC14B,LRRC14B
GBE1,GBE1
NPY5R,NPY5R
PKHD1,PKHD1
COL15A1,COL15A1
BCL9,BCL9
GLIPR2,GLIPR2
BLOC1S4,BLOC1S4
ACSF3,ACSF3
ARC,ARC
EMC2,EMC2
SCGN,SCGN
TMA16,TMA16
HS1BP3,HS1BP3
CDH15,CDH15
LDAH,LDAH
TMEM74,TMEM74
SPRTN,SPRTN
EXOC8,EXOC8
JADE1,JADE1
RAB30,RAB30
RECK,RECK
EIF3H,EIF3H
APELA,APELA
MYC,MYC
TARBP1,TARBP1
SPG7,SPG7
LOC110483331,LRRC14
KIAA0319,KIAA0319
NUDCD1,NUDCD1
TMEM192,TMEM192
RPL13,RPL13
SDC1,SDC1
ALDH5A1,ALDH5A1
ENY2,ENY2
CBR4,CBR4
BTC,BTC
CERK,CERK
ADNP2,ADNP2
CCDC90B,CCDC90B
GSR,GSR
GMNN,GMNN
LOC110468875,SLC35F3
MRS2,MRS2
PURG,PURG
C2H6orf62,C6orf62
ACOT13,ACOT13
TDP2,TDP2
SPOCK3,SPOCK3
WRN,WRN
CHMP1A,CHMP1A
IL17REL,IL17REL
ANXA10,ANXA10
CDK10,CDK10
ZNF830,ZNF830
RBFA,RBFA
MLC1,MLC1
GTF2E2,GTF2E2
USP25,USP25
LOC110468797,VPS9D1
CHMP5,CHMP5
SMIM18,SMIM18
ZNF276,ZNF276
SDHA,SDHA
GUCY1B1,GUCY1B3
FANCA,FANCA
RHPN1,RHPN1
SLC35A4,SLC35A4
SPIRE2,SPIRE2
TCF25,TCF25
MMUT,MUT
DEF8,DEF8
SYTL2,SYTL2
CCDC83,CCDC83
CDC5L,CDC5L
TBC1D2,TBC1D2
RARS1,RARS
RCSD1,RCSD1
TDO2,TDO2
CREG1,CREG1
SLC2A13,SLC2A13
WWC1,WWC1
ELP1,IKBKAP
HHLA1,HHLA1
CD247,CD247
DCTN6,DCTN6
NTPCR,NTPCR
SOX4,SOX4
CDKAL1,CDKAL1
ABCD2,ABCD2
TERT,TERT
FRAS1,FRAS1
SMU1,SMU1
KCNQ3,KCNQ3
CTSO,CTSO
HSBP1L1,HSBP1L1
CHTF8,CHTF8
MRPL1,MRPL1
UTP4,UTP4
CAVIN4,MURC
HTR4,HTR4
SNTB2,SNTB2
PGR,PGR
SEMA6A,SEMA6A
POU2F1,POU2F1
PDGFC,PDGFC
NOP53,GLTSCR2
EXOC3,EXOC3
STARD4,STARD4
GLRB,GLRB
TPRKB,TPRKB
ILDR2,ILDR2
PPARGC1B,PPARGC1B
CTDP1,CTDP1
ADGRB1,ADGRB1
GTSE1,GTSE1
ISCA1,ISCA1
CCNG2,CCNG2
GPA33,GPA33
ARHGEF37,ARHGEF37
ARHGAP42,ARHGAP42
NIP7,NIP7
DUSP1,DUSP1
TRMU,TRMU
TUT7,ZCCHC6
PYURF,PYURF
COMMD10,COMMD10
WDYHV1,WDYHV1
FBXO32,FBXO32
TPK1,TPK1
KLHL38,KLHL38
AHRR,AHRR
LOC110468764,CYB5B
MAML2,MAML2
DCP2,DCP2
TMEM144,TMEM144
NFAT5,NFAT5
DNAJC18,DNAJC18
LOC110470248,CYP39A1
MAPK15,MAPK15
FAM83H,FAM83H
ANXA13,ANXA13
FAM13A,FAM13A
PTGFRN,PTGFRN
NOB1,NOB1
CUL1,CUL1
FAM91A1,FAM91A1
TEX10,TEX10
MEP1A,MEP1A
EXOSC5,EXOSC5
PSMD7,PSMD7
INVS,INVS
ERP44,ERP44
SCRIB,SCRIB
AADAT,AADAT
DHX38,DHX38
APC,APC
STX17,STX17
FAM76B,FAM76B
PDIA4,PDIA4
DHODH,DHODH
TNFRSF21,TNFRSF21
MFAP3L,MFAP3L
NR4A3,NR4A3
PUF60,PUF60
SDCCAG8,SDCCAG8
LRRC6,LRRC6
IST1,IST1
TMEM71,TMEM71
MAFA,MAFA
LOC110484694,HPF1
ZC3H3,ZC3H3
RPRD1A,RPRD1A
ZNF821,ZNF821
MMRN1,MMRN1
SIL1,SIL1
C2H18orf21,C18orf21
PLD5,PLD5
PHF20L1,PHF20L1
ADCY1,ADCY1
CD2AP,CD2AP
