OMAid_1	RefSeq_1	gene_id	EntrezGene_1	SourceID_1	OMAid_2	RefSeq_2	Ensembl.Gene_2	EntrezGene_2	gene_name_ck	RelType	OmaGroup	gene_name_zf
TAEGU10587	XP_030132391	ENSTGUG00000010963	101233254	ENSTGUG00000010963.2	CHICK07071	XP_015129784	NA	418778	UBAC2	1:1	1346629	UBAC2
TAEGU10597	XP_004174783	ENSTGUG00000010965	100221842	ENSTGUG00000010965.2	CHICK07074	XP_001231944	NA	769212	GPR183	1:1	1309253	GPR183
TAEGU10593	XP_004174784	ENSTGUG00000018506	100219001	ENSTGUG00000018506.2	CHICK07075	XP_003640589	NA	100858263	GPR18	1:1	355239	GPR18
TAEGU10568	XP_002196495	ENSTGUG00000010967	100225722	ENSTGUG00000010967.2	CHICK07076	XP_046770076	NA	418779	DOCK9	1:1	869359	DOCK9
TAEGU10556	XP_030132197	ENSTGUG00000011018	100219866	ENSTGUG00000011018.2	CHICK07096	NP_989696	NA	378789	SLC15A1	1:1	1068937	SLC15A1
TAEGU10549	XP_002199005	ENSTGUG00000011049	100223832	ENSTGUG00000011049.2	CHICK07098	NP_001384733	NA	418780	STK24	1:1	1070219	STK24
TAEGU10525	NP_001170907	ENSTGUG00000011061	100220900	ENSTGUG00000011061.2	CHICK07113	NP_001384978	NA	418781	FARP1	1:1	1085627	FARP1
TAEGU10514	XP_002196617	ENSTGUG00000011084	100221776	ENSTGUG00000011084.2	CHICK07118	XP_040513617	NA	418783	IPO5	1:1	955875	IPO5
TAEGU10497	XP_012424976	ENSTGUG00000011104	100218049	ENSTGUG00000011104.2	CHICK07130	XP_040555401	NA	418784	MBNL2	1:1	1016612	MBNL2
TAEGU10477	XP_002196716	ENSTGUG00000011118	100226671	ENSTGUG00000011118.2	CHICK07152	XP_040505245	NA	428024	LOC428024	1:1	956336	OXGR1
TAEGU10442	XP_002196801	ENSTGUG00000011123	100224753	ENSTGUG00000011123.2	CHICK07154	NP_001239028	NA	418785	UGGT2	1:1	1020028	UGGT2
TAEGU10423	XP_012425024	ENSTGUG00000011161	100221840	ENSTGUG00000011161.2	CHICK07159	NP_001008437	NA	418787	DNAJC3	1:1	1067417	DNAJC3
TAEGU10404	XP_030132028	ENSTGUG00000011173	100225719	ENSTGUG00000011173.2	CHICK07162	XP_015130247	NA	418789	DZIP1	1:1	1069220	DZIP1
TAEGU10397	XP_002196861	ENSTGUG00000011177	100222853	ENSTGUG00000011177.2	CHICK07169	NP_001264696	NA	418790	CLDN10	1:1	NA	CLDN10
TAEGU10380	XP_030131993	ENSTGUG00000011178	100232363	ENSTGUG00000011178.2	CHICK07170	XP_040555535	NA	418791	ABCC4	1:1	1068895	ABCC4
TAEGU10372	XP_002196901	ENSTGUG00000011206	100229418	ENSTGUG00000011206.2	CHICK07177	NP_001383603	NA	107051027	SOX21	1:1	1076737	SOX21
TAEGU10368	XP_002196920	ENSTGUG00000011209	100223741	ENSTGUG00000011209.2	CHICK07178	XP_015130179	NA	418792	GPR180	1:1	1301051	GPR180
TAEGU10357	XP_002196929	ENSTGUG00000011214	100220800	ENSTGUG00000011214.2	CHICK07179	XP_040515204	NA	418793	TGDS	1:1	1067307	TGDS
TAEGU10351	XP_002199385	ENSTGUG00000011227	100230498	ENSTGUG00000011227.2	CHICK07182	NP_990266	NA	395775	DCT	1:1	986992	DCT
TAEGU10344	NA	ENSTGUG00000011232	NA	ENSTGUG00000011232.2	CHICK07183	XP_040509715	NA	418794	GPC6	1:1	1413319	GPC6
TAEGU10317	XP_030131835	ENSTGUG00000029657	100226341	ENSTGUG00000029657.1	CHICK07218	XP_015130099	NA	100859280	SLITRK5	1:1	1321713	SLITRK5
TAEGU10147	XP_002197714	ENSTGUG00000012602	100225373	ENSTGUG00000012602.2	CHICK07221	XP_003640598	NA	418797	SLITRK6	1:1	1382573	SLITRK6
TAEGU10159	XP_002199677	ENSTGUG00000012596	100226343	ENSTGUG00000012596.2	CHICK07226	NP_001384613	NA	395584	SPRY2	1:1	1416726	SPRY2
TAEGU10170	XP_030126468	ENSTGUG00000012593	100222425	ENSTGUG00000012593.2	CHICK07235	XP_015130829	NA	418803	NDFIP2	1:1	1362256	NDFIP2
TAEGU10179	XP_002199656	ENSTGUG00000012585	100229176	ENSTGUG00000012585.2	CHICK07236	XP_004938666	NA	418804	RBM26	1:1	1417335	RBM26
TAEGU10201	NA	ENSTGUG00000012583	NA	ENSTGUG00000012583.2	CHICK07239	XP_040507515	NA	418805	RNF219	1:1	1373284	OBI1
TAEGU10203	XP_030126555	ENSTGUG00000027943	100230041	ENSTGUG00000027943.1	CHICK07245	XP_015132813	NA	100857623	POU4F1	1:1	1076741	POU4F1
TAEGU10316	XP_004186152	ENSTGUG00000022162	100228255	ENSTGUG00000022162.1	CHICK07248	NP_001001127	NA	408082	EDNRB	1:1	1305750	EDNRB
TAEGU10321	XP_030126574	ENSTGUG00000012572	101233130	ENSTGUG00000012572.2	CHICK07249	XP_417002	NA	418807	SLAIN1	1:1	1395787	SLAIN1
TAEGU10463	XP_030126649	ENSTGUG00000012556	100224418	ENSTGUG00000012556.2	CHICK07257	XP_015132699	NA	418808	MYCBP2	1:1	1363200	MYCBP2
TAEGU10692	XP_002199560	ENSTGUG00000012555	100219599	ENSTGUG00000012555.2	CHICK07290	XP_040517346	NA	428048	FBXL3	1:1	1064354	FBXL3
TAEGU10703	XP_002197369	ENSTGUG00000023833	100220546	ENSTGUG00000023833.1	CHICK07293	NP_001269123	NA	101752092	CLN5	1:1	1397613	CLN5
TAEGU10728	XP_030126785	ENSTGUG00000012551	101232923	ENSTGUG00000012551.2	CHICK07297	NP_001025992	NA	418812	ACOD1	1:1	1342172	ACOD1
TAEGU10823	XP_030126864	ENSTGUG00000012539	100225324	ENSTGUG00000012539.2	CHICK07308	XP_040517348	NA	418815	LMO7	1:1	1407046	LMO7
TAEGU10928	NA	ENSTGUG00000012534	NA	ENSTGUG00000012534.2	CHICK07319	NP_990156	NA	395626	UCHL3	1:1	1339487	UCHL3
TAEGU10952	XP_030127171	ENSTGUG00000012530	100221429	ENSTGUG00000012530.2	CHICK07325	XP_015132517	NA	428062	TBC1D4	1:1	1423666	TBC1D4
TAEGU10973	XP_030127233	ENSTGUG00000019620	100228236	ENSTGUG00000019620.1	CHICK07329	XP_003640604	NA	418817	KLF12	1:1	1069449	KLF12
TAEGU10993	XP_012425170	ENSTGUG00000012525	100231095	ENSTGUG00000012525.2	CHICK07338	XP_040513669	NA	418818	KLF5	1:1	1413716	KLF5
TAEGU11007	NA	ENSTGUG00000012511	NA	ENSTGUG00000012511.2	CHICK07339	XP_015132445	NA	418820	PIBF1	1:1	1070593	PIBF1
TAEGU11027	XP_002197213	ENSTGUG00000012500	100223496	ENSTGUG00000012500.2	CHICK07344	XP_040513671	NA	418821	DIS3	1:1	1067324	DIS3
TAEGU11049	XP_012425190	ENSTGUG00000012496	100226370	ENSTGUG00000012496.2	CHICK07347	XP_015131285	NA	769298	BORA	1:1	1414794	BORA
TAEGU11058	XP_030127329	ENSTGUG00000012492	100224395	ENSTGUG00000012492.2	CHICK07355	XP_015130681	NA	373935	DACH1	1:1	1054166	DACH1
TAEGU11084	XP_030127393	ENSTGUG00000012487	100227278	ENSTGUG00000012487.2	CHICK07362	XP_040515483	NA	418799	KLHL1	1:1	1079204	KLHL1
TAEGU11093	XP_030142650	ENSTGUG00000012486	100230085	ENSTGUG00000012486.2	CHICK07364	XP_046760699	NA	418800	PCDH9	1:1	1076171	PCDH9
TAEGU11131	XP_002196691	ENSTGUG00000012481	100217653	ENSTGUG00000012481.2	CHICK07372	XP_004938713	NA	428063	PCDH20	1:1	344732	PCDH20
TAEGU11150	NA	ENSTGUG00000012476	NA	ENSTGUG00000012476.2	CHICK07374	NP_001384138	NA	418823	TDRD3	1:1	1075953	TDRD3
TAEGU11158	XP_030127497	ENSTGUG00000012460	100229149	ENSTGUG00000012460.2	CHICK07378	XP_015132339	NA	418824	DIAPH3	1:1	1072068	DIAPH3
TAEGU11181	XP_012425139	ENSTGUG00000012457	100220520	ENSTGUG00000012457.2	CHICK07384	XP_015132299	NA	418825	PCDH17	1:1	1080053	PCDH17
TAEGU11197	XP_030127662	ENSTGUG00000025069	100218642	ENSTGUG00000025069.1	CHICK07388	NP_001035553	NA	418826	OLFM4	1:1	349159	OLFM4
TAEGU11199	XP_002199103	ENSTGUG00000012453	100223422	ENSTGUG00000012453.2	CHICK07389	NP_001092079	NA	428065	PCDH8	1:1	1072159	PCDH8
TAEGU11206	XP_030127701	ENSTGUG00000012448	100226280	ENSTGUG00000012448.2	CHICK07392	NP_990141	NA	395600	LECT1	1:1	1408994	CNMD
TAEGU11238	XP_030127738	ENSTGUG00000012438	100224429	ENSTGUG00000012438.2	CHICK07423	XP_015130915	NA	418828	ELF1	1:1	1338742	ELF1
TAEGU11244	XP_002196348	ENSTGUG00000023820	100217656	ENSTGUG00000023820.1	CHICK07445	NP_001025995	NA	418829	WBP4	1:1	1367710	WBP4
TAEGU11254	XP_012425285	ENSTGUG00000012422	100220550	ENSTGUG00000012422.2	CHICK07451	XP_040513398	NA	418830	MTRF1	1:1	1424925	MTRF1
TAEGU11274	XP_002196302	ENSTGUG00000012418	100226318	ENSTGUG00000012418.2	CHICK07462	XP_004938719	NA	418832	NAA16	1:1	926838	NAA16
TAEGU11312	XP_030127871	ENSTGUG00000012398	100219571	ENSTGUG00000012398.2	CHICK07470	XP_040514448	NA	428066	VWA8	1:1	1028203	VWA8
TAEGU10302	XP_030127886	ENSTGUG00000012377	100218586	ENSTGUG00000012377.2	CHICK07472	XP_004938727	NA	769506	DGKH	1:1	1417564	DGKH
TAEGU10303	NA	ENSTGUG00000018872	NA	ENSTGUG00000018872.1	CHICK07477	XP_004938730	NA	418835	AKAP11	1:1	341986	AKAP11
TAEGU10312	XP_030127988	ENSTGUG00000025888	100227247	ENSTGUG00000025888.1	CHICK07485	NP_001076830	NA	428067	TNFSF11	1:1	1339542	TNFSF11
TAEGU10319	XP_004175114	ENSTGUG00000012366	101234166	ENSTGUG00000012366.2	CHICK07488	XP_040513332	NA	418837	EPSTI1	1:1	1398595	EPSTI1
TAEGU10330	XP_012425249	ENSTGUG00000024533	100230058	ENSTGUG00000024533.1	CHICK07489	NP_001264705	NA	418838	DNAJC15	1:1	903242	DNAJC15
TAEGU10337	XP_030128029	ENSTGUG00000012357	100217600	ENSTGUG00000012357.2	CHICK07504	XP_025002557	NA	418839	ENOX1	1:1	984336	ENOX1
TAEGU10346	XP_030128096	ENSTGUG00000022901	100223382	ENSTGUG00000022901.1	CHICK07515	XP_015132121	NA	428068	CCDC122	1:1	1393023	CCDC122
TAEGU10350	XP_002196055	ENSTGUG00000012353	100229210	ENSTGUG00000012353.2	CHICK07529	XP_015132114	NA	418840	LACC1	1:1	1389893	LACC1
TAEGU10600	XP_030141215	ENSTGUG00000012321	100231127	ENSTGUG00000012321.2	CHICK07544	NP_001025996	NA	418841	NUFIP1	1:1	1070227	NUFIP1
TAEGU10604	XP_002198719	ENSTGUG00000012338	100219541	ENSTGUG00000012338.2	CHICK07546	NP_001006270	NA	418842	GPALPP1	1:1	1067924	GPALPP1
TAEGU10617	NA	ENSTGUG00000012334	NA	ENSTGUG00000012334.2	CHICK07547	XP_417039	NA	418843	GTF2F2	1:1	NA	GTF2F2
TAEGU10624	NP_001232731	ENSTGUG00000022029	100189941	ENSTGUG00000022029.1	CHICK07548	NP_001186255	NA	769400	KCTD4	1:1	1301083	KCTD4
TAEGU10633	NA	ENSTGUG00000012322	NA	ENSTGUG00000012322.2	CHICK07549	NP_990729	NA	396363	TPT1	1:1	1312196	TPT1
TAEGU10651	XP_012425191	ENSTGUG00000012317	100230115	ENSTGUG00000012317.2	CHICK07550	XP_040513915	NA	418845	SLC25A30	1:1	934229	SLC25A30
TAEGU10661	XP_030128154	ENSTGUG00000012310	100220551	ENSTGUG00000012310.2	CHICK07554	XP_040517983	NA	418846	COG3	1:1	955842	COG3
TAEGU10686	NA	ENSTGUG00000012307	NA	ENSTGUG00000012307.2	CHICK07561	XP_040517987	NA	418849	SIAH3	1:1	NA	SIAH3
TAEGU10719	XP_030128208	ENSTGUG00000012299	100218673	ENSTGUG00000012299.2	CHICK07564	XP_004938748	NA	418850	ZC3H13	1:1	1071849	ZC3H13
TAEGU10754	XP_030128242	ENSTGUG00000012294	100229153	ENSTGUG00000012294.2	CHICK07569	XP_040517989	NA	418851	CPB2	1:1	857346	CPB2
TAEGU10768	XP_030128260	ENSTGUG00000012284	100221515	ENSTGUG00000012284.2	CHICK07570	XP_040555718	NA	418852	LCP1	1:1	818317	LCP1
TAEGU10793	XP_012425182	ENSTGUG00000012281	100232074	ENSTGUG00000012281.2	CHICK07575	XP_046765083	NA	418854	RUBCNL	1:1	1357904	RUBCNL
TAEGU10815	NA	ENSTGUG00000012267	NA	ENSTGUG00000012267.2	CHICK07582	XP_040513731	NA	418855	LRCH1	1:1	1080601	LRCH1
TAEGU10866	XP_012425164	ENSTGUG00000012256	100224460	ENSTGUG00000012256.2	CHICK07595	NP_001264720	NA	418856	ESD	1:1	866370	ESD
TAEGU10877	NA	ENSTGUG00000012255	NA	ENSTGUG00000012255.2	CHICK07604	NP_001305349	NA	428070	HTR2A	1:1	1078674	HTR2A
TAEGU10883	NA	ENSTGUG00000012239	NA	ENSTGUG00000012239.2	CHICK07605	NP_001006271	NA	418857	SUCLA2	1:1	1054529	SUCLA2
TAEGU10904	NA	ENSTGUG00000012236	NA	ENSTGUG00000012236.2	CHICK07606	XP_004938758	NA	418858	NUDT15	1:1	894854	NUDT15
TAEGU10911	XP_012425128	ENSTGUG00000022889	100218591	ENSTGUG00000022889.1	CHICK07608	XP_004938759	NA	418859	MED4	1:1	898874	MED4
TAEGU10919	XP_030128543	ENSTGUG00000012223	100221438	ENSTGUG00000012223.2	CHICK07613	NP_990416	NA	395969	ITM2B	1:1	1351808	ITM2B
TAEGU10937	NA	ENSTGUG00000012205	NA	ENSTGUG00000012205.2	CHICK07616	NP_989750	NA	386582	RB1	1:1	1306057	RB1
TAEGU10968	NA	ENSTGUG00000012222	101233928	ENSTGUG00000012222.2	CHICK07618	NP_990530	NA	396118	LPAR6	1:1	1357461	LPAR6
TAEGU10989	NA	ENSTGUG00000012201	NA	ENSTGUG00000012201.2	CHICK07623	XP_025002576	NA	418861	RCBTB2	1:1	1070045	RCBTB2
TAEGU11004	XP_030128550	ENSTGUG00000024279	100230062	ENSTGUG00000024279.1	CHICK07639	XP_004938764	NA	428071	CYSLTR2	1:1	1327646	CYSLTR2
TAEGU11037	XP_012425229	ENSTGUG00000012174	100220575	ENSTGUG00000012174.2	CHICK07641	NP_001012844	NA	418863	FNDC3A	1:1	1068892	FNDC3A
TAEGU11057	XP_030128624	ENSTGUG00000012172	100225390	ENSTGUG00000012172.2	CHICK07650	NP_001120785	NA	428072	MLNR	1:1	1077801	MLNR
TAEGU11072	XP_002198216	ENSTGUG00000012166	100223473	ENSTGUG00000012166.2	CHICK07651	XP_040514550	NA	418864	CDADC1	1:1	1366827	CDADC1
TAEGU11108	XP_012425268	ENSTGUG00000012160	100226345	ENSTGUG00000012160.2	CHICK07653	NP_001006272	NA	418865	CAB39L	1:1	771028	CAB39L
TAEGU11133	XP_041572088	ENSTGUG00000012159	100231131	ENSTGUG00000012159.2	CHICK07661	NP_001376394	NA	418866	SETDB2	1:1	918885	SETDB2
TAEGU11182	NA	ENSTGUG00000012146	NA	ENSTGUG00000012146.2	CHICK07667	XP_004938772	NA	418868	RCBTB1	1:1	1070490	RCBTB1
TAEGU11205	XP_030128758	ENSTGUG00000020855	100224436	ENSTGUG00000020855.1	CHICK07677	XP_004938777	NA	418869	ARL11	1:1	1058839	ARL11
TAEGU11216	XP_030128770	ENSTGUG00000012126	100232097	ENSTGUG00000012126.2	CHICK07680	NP_001180504	NA	418870	KPNA3	1:1	1073406	KPNA3
TAEGU11242	NP_001107214	ENSTGUG00000019704	100135420	ENSTGUG00000019704.1	CHICK07685	NP_001006273	NA	418871	SPRYD7	1:1	1404574	SPRYD7
TAEGU11248	XP_002198004	ENSTGUG00000012115	100222464	ENSTGUG00000012115.2	CHICK07686	XP_004938778	NA	418872	TRIM13	1:1	1077803	TRIM13
TAEGU11277	XP_030128943	ENSTGUG00000012104	100220552	ENSTGUG00000012104.2	CHICK07701	XP_046764213	NA	418874	RNASEH2B	1:1	1331434	RNASEH2B
TAEGU11287	NA	ENSTGUG00000012096	NA	ENSTGUG00000012096.2	CHICK07708	XP_040513780	NA	418875	SERPINE3	1:1	1394647	SERPINE3
TAEGU11307	XP_030129009	ENSTGUG00000012084	100225359	ENSTGUG00000012084.2	CHICK07710	XP_015131586	NA	418876	INTS6	1:1	1069198	INTS6
TAEGU11328	XP_002197817	ENSTGUG00000012075	100228239	ENSTGUG00000012075.2	CHICK07713	NP_001073218	NA	770107	WDFY2	1:1	1398464	WDFY2
TAEGU11338	XP_030129095	ENSTGUG00000019306	115495326	ENSTGUG00000019306.1	CHICK07717	XP_025002586	NA	112531573	TMEM272	1:1	883010	TMEM272
TAEGU11344	XP_030129102	ENSTGUG00000012069	100219575	ENSTGUG00000012069.2	CHICK07729	XP_040513789	NA	418879	ATP7B	1:1	806930	ATP7B
TAEGU11357	NA	ENSTGUG00000012066	NA	ENSTGUG00000012066.2	CHICK07733	NP_001186754	NA	418880	ALG11	1:1	NA	ALG11
TAEGU11360	XP_041572225	ENSTGUG00000012059	100222443	ENSTGUG00000012059.2	CHICK07734	XP_015131520	NA	418881	NEK5	1:1	1071354	NEK5
TAEGU11372	XP_002197649	ENSTGUG00000012048	100218620	ENSTGUG00000012048.2	CHICK07740	XP_015131494	NA	770196	NEK3	1:1	1073145	NEK3
TAEGU11387	XP_002197635	ENSTGUG00000012041	100221464	ENSTGUG00000012041.2	CHICK07741	NP_001006274	NA	418882	CKAP2	1:1	1413173	CKAP2
TAEGU11394	XP_012425288	ENSTGUG00000012036	100224399	ENSTGUG00000012036.2	CHICK07742	XP_040513811	NA	418883	VPS36	1:1	1420239	VPS36
TAEGU11420	XP_030129112	ENSTGUG00000012032	100227280	ENSTGUG00000012032.2	CHICK07743	XP_015131464	NA	418884	THSD1	1:1	1393112	THSD1
TAEGU11446	XP_030129343	ENSTGUG00000012012	100230088	ENSTGUG00000012012.2	CHICK07758	NP_001008442	NA	418886	SLC25A15	1:1	NA	SLC25A15
TAEGU11448	NA	ENSTGUG00000012008	NA	ENSTGUG00000012008.2	CHICK07764	NP_989659	NA	374231	FOXO1	1:1	1026073	FOXO1
TAEGU11459	XP_002194989	ENSTGUG00000011994	100224368	ENSTGUG00000011994.2	CHICK07765	XP_040513827	NA	418888	COG6	1:1	1029822	COG6
TAEGU11473	XP_030129429	ENSTGUG00000024318	100220523	ENSTGUG00000024318.1	CHICK07766	XP_040513828	NA	418889	LHFPL1	1:1	1387736	LHFPL6
TAEGU11493	XP_030129526	ENSTGUG00000011989	100225396	ENSTGUG00000011989.2	CHICK07768	XP_040514238	NA	418890	NHLRC3	1:1	NA	NHLRC3
TAEGU11497	XP_012425262	ENSTGUG00000011985	100228271	ENSTGUG00000011985.2	CHICK07770	XP_040514236	NA	418891	PROSER1	1:1	1069145	PROSER1
TAEGU11521	XP_002194679	ENSTGUG00000011967	100218648	ENSTGUG00000011967.2	CHICK07775	XP_040515967	NA	418893	FREM2	1:1	343002	FREM2
TAEGU10122	NA	ENSTGUG00000011947	NA	ENSTGUG00000011947.2	CHICK07777	XP_040516246	NA	418895	TRPC4	1:1	1068153	TRPC4
TAEGU10127	XP_030129602	ENSTGUG00000011933	100223425	ENSTGUG00000011933.2	CHICK07779	XP_015133077	NA	395429	POSTN	1:1	1071809	POSTN
TAEGU10176	XP_002196618	ENSTGUG00000022331	100226285	ENSTGUG00000022331.1	CHICK07818	XP_003640625	NA	100858560	EXOSC8	1:1	1397438	EXOSC8
TAEGU10184	XP_030129853	ENSTGUG00000011903	100228219	ENSTGUG00000011903.2	CHICK07819	XP_040513415	NA	418898	ALG5	1:1	874629	ALG5
TAEGU10188	NA	ENSTGUG00000023849	NA	ENSTGUG00000023849.1	CHICK07830	XP_004938803	NA	418899	RFXAP	1:1	1397062	RFXAP
TAEGU10190	XP_041572383	ENSTGUG00000025328	100219545	ENSTGUG00000025328.1	CHICK07831	NP_001376368	NA	418900	SERTM1	1:1	448286	SERTM1
TAEGU10194	XP_030129917	ENSTGUG00000011881	100224372	ENSTGUG00000011881.2	CHICK07834	XP_004938804	NA	418901	CCNA1	1:1	1071554	CCNA1
TAEGU10209	XP_012425253	ENSTGUG00000011877	100226258	ENSTGUG00000011877.2	CHICK07837	XP_004938806	NA	418902	SPG20	1:1	1393530	SPART
TAEGU10225	XP_030129967	ENSTGUG00000011857	100225399	ENSTGUG00000011857.2	CHICK07850	XP_015133290	NA	418903	DCLK1	1:1	1070085	DCLK1
TAEGU10243	XP_030130014	ENSTGUG00000011819	100228275	ENSTGUG00000011819.2	CHICK07863	XP_040560185	NA	395195	NBEA	1:1	904300	NBEA
TAEGU10266	XP_002195991	ENSTGUG00000011855	100222410	ENSTGUG00000011855.2	CHICK07864	NP_001383067	NA	395208	MAB21L1	1:1	1323455	MAB21L1
TAEGU10268	XP_002195786	ENSTGUG00000011814	100225307	ENSTGUG00000011814.2	CHICK07865	NP_001006276	NA	418907	RFC3	1:1	1067311	RFC3
TAEGU10271	XP_030130111	ENSTGUG00000011803	100228187	ENSTGUG00000011803.2	CHICK07868	XP_004938815	NA	418908	STARD13	1:1	940996	STARD13
TAEGU10288	XP_002195458	ENSTGUG00000011779	100231037	ENSTGUG00000011779.2	CHICK07885	XP_015133327	NA	418910	PDS5B	1:1	1067372	PDS5B
TAEGU10308	XP_004175101	ENSTGUG00000011763	100218603	ENSTGUG00000011763.2	CHICK07898	NP_989607	NA	374139	BRCA2	1:1	1387000	BRCA2
TAEGU10315	XP_030130375	ENSTGUG00000011760	100227263	ENSTGUG00000011760.2	CHICK07900	NP_001165014	NA	771155	ZAR1L	1:1	1380977	ZAR1L
TAEGU10332	XP_012425218	ENSTGUG00000011735	100221519	ENSTGUG00000011735.2	CHICK07905	XP_025002600	NA	418915	FRY	1:1	860476	FRY
TAEGU10347	XP_030130400	ENSTGUG00000011725	100217612	ENSTGUG00000011725.2	CHICK07917	XP_040509099	NA	428075	B3GLCT	1:1	1409085	B3GLCT
TAEGU10369	NP_001153205; XP_002194913	ENSTGUG00000011712	100224462	ENSTGUG00000011712.2	CHICK07921	NP_001153170	NA	418917	HSPH1	1:1	1068606	HSPH1
TAEGU10387	XP_002194841	ENSTGUG00000011710	100227340	ENSTGUG00000011710.2	CHICK07923	NP_001265073	NA	770904	ALOX5AP	1:1	1341662	ALOX5AP
TAEGU10391	XP_041572499	ENSTGUG00000011708	100229100	ENSTGUG00000011708.2	CHICK07924	NP_001155865	NA	395436	USPL1	1:1	971537	USPL1
TAEGU10427	NA	ENSTGUG00000011690	NA	ENSTGUG00000011690.2	CHICK07937	XP_004938820	NA	418920	KATNAL1	1:1	1069764	KATNAL1
TAEGU10449	XP_041572516	ENSTGUG00000023373	100220578	ENSTGUG00000023373.1	CHICK07945	NP_001012847	NA	418921	UBL3	1:1	850643	UBL3
TAEGU10459	XP_002194181	ENSTGUG00000011671	100223476	ENSTGUG00000011671.2	CHICK07947	NP_001138962	NA	418922	SLC7A1	1:1	1070622	SLC7A1
TAEGU10470	XP_002193110	ENSTGUG00000011664	100218655	ENSTGUG00000011664.2	CHICK07950	XP_015134175	NA	418923	MTUS2	1:1	1071943	MTUS2
TAEGU10479	XP_012425217	ENSTGUG00000011660	100229183	ENSTGUG00000011660.2	CHICK07955	NP_001025999	NA	418924	SLC46A3	1:1	1069148	SLC46A3
TAEGU10486	NP_001232511; XP_002193671	ENSTGUG00000019231	100190371	ENSTGUG00000019231.1	CHICK07959	XP_040514307	NA	418925	POMP	1:1	1418621	POMP
TAEGU10502	XP_002192931	ENSTGUG00000011631	100223459	ENSTGUG00000011631.2	CHICK07960	NP_989583	NA	374100	FLT1	1:1	1069264	FLT1
TAEGU10512	XP_030130641	ENSTGUG00000011627	100232100	ENSTGUG00000011627.2	CHICK07968	XP_015134193	NA	418926	PAN3	1:1	1416745	PAN3
TAEGU10539	XP_030130629	ENSTGUG00000011607	100230451	ENSTGUG00000011607.2	CHICK07972	XP_003640660	NA	100858422	FLT3	1:1	1382645	FLT3
TAEGU10555	XP_030132115	ENSTGUG00000024715	100225346	ENSTGUG00000024715.1	CHICK07974	NP_989642	NA	374205	CDX2	1:1	1075563	CDX2
TAEGU10563	XP_002192983	ENSTGUG00000011603	100219604	ENSTGUG00000011603.2	CHICK07977	XP_015135226	NA	107052208	GSX1	1:1	1075790	GSX1
TAEGU10572	XP_002192829	ENSTGUG00000011590	100222468	ENSTGUG00000011590.2	CHICK07980	XP_015134318	NA	101749023	LOC101749023	1:1	1076624	LNX2
TAEGU10581	NA	ENSTGUG00000011587	NA	ENSTGUG00000011587.2	CHICK07989	NP_001264728	NA	418930	MTIF3	1:1	NA	MTIF3
TAEGU10589	XP_041572576	ENSTGUG00000011584	100226266	ENSTGUG00000011584.2	CHICK07996	NP_001107043	NA	418931	GTF3A	1:1	1069524	GTF3A
TAEGU10598	NA	ENSTGUG00000011581	NA	ENSTGUG00000011581.2	CHICK07997	XP_040514338	NA	418932	RASL11A	1:1	1074670	RASL11A
TAEGU10605	NP_001232566	ENSTGUG00000011571	100190647	ENSTGUG00000011571.2	CHICK07998	XP_001233393	NA	418933	RPL21	1:1	1395539	RPL21
TAEGU10628	XP_030130837	ENSTGUG00000011564	100228242	ENSTGUG00000011564.2	CHICK08007	XP_040514339	NA	428078	USP12	1:1	1068506	USP12
TAEGU10658	XP_030130844	ENSTGUG00000029743	100231104	ENSTGUG00000029743.1	CHICK08011	XP_004938835	NA	428079	GPR12	1:1	1069455	GPR12
TAEGU10669	XP_030130873	ENSTGUG00000011551	100218623	ENSTGUG00000011551.2	CHICK08013	XP_004938839	NA	418934	WASF3	1:1	1069578	WASF3
TAEGU10695	NA	ENSTGUG00000011534	NA	ENSTGUG00000011534.2	CHICK08028	XP_015134480	NA	428080	CDK8	1:1	1068115	CDK8
TAEGU10732	XP_012425260	ENSTGUG00000011529	100218658	ENSTGUG00000011529.2	CHICK08032	XP_004938841	NA	418935	RNF6	1:1	1071088	RNF6
TAEGU10775	XP_030130964	ENSTGUG00000011487	100220565	ENSTGUG00000011487.2	CHICK08042	XP_025002617	NA	418936	ATP8A2	1:1	1368659	ATP8A2
TAEGU10861	XP_030131004	ENSTGUG00000023421	100229167	ENSTGUG00000023421.1	CHICK08045	NP_989832	NA	395162	SHISA2	1:1	1300243	SHISA2
TAEGU10869	XP_012425266	ENSTGUG00000011475	100224403	ENSTGUG00000011475.2	CHICK08051	XP_015133489	NA	418937	NUP58	1:1	1068543	NUP58
TAEGU10897	NA	ENSTGUG00000011465	NA	ENSTGUG00000011465.2	CHICK08052	XP_040514383	NA	418938	MTMR6	1:1	1301523	MTMR6
TAEGU10925	NA	ENSTGUG00000011453	NA	ENSTGUG00000011453.2	CHICK08056	XP_015134594	NA	418940	SPATA13	1:1	1031250	SPATA13
TAEGU10958	NA	ENSTGUG00000011437	NA	ENSTGUG00000011437.2	CHICK08064	XP_040514396	NA	418942	MIPEP	1:1	977316	MIPEP
TAEGU10991	XP_030131119	ENSTGUG00000011424	100230091	ENSTGUG00000011424.2	CHICK08065	NP_001073572	NA	418943	TNFRSF19	1:1	1342490	TNFRSF19
TAEGU11028	XP_030131149	ENSTGUG00000011419	100226269	ENSTGUG00000011419.2	CHICK08071	XP_004938853	NA	418944	SACS	1:1	1336428	SACS
